"","LP","ID","Data.rozpoczecia","Data.zakonczenia","Calkowity.czas.wypelniania","Rzeczywisty.czas.wypelniania","z1.wiedza.dziedzinowa","z1.zdolnosci.analityczne","z1.skutecznosc","z1.swiadomosc.roli","z1.otwartosc.feedback","z1.rozwoj.wlasny","z2.sposob.pracy","z2.licza.sie","z2.podazaja","z2.potrafi.rozmawiac","z2.dostrzega.potrzeby","z2.dostrzega.potencjal","z2.rozwoj.zawodowy","z2.rozwoj.osobisty","z2.wartosciowy.feedback","z2.dostepny","z2.bezpieczenstwo","z2.nadmierna.presja","z2.trudne.sytuacje","z2.godna.zaufania","z3.zeby.wspolpraca","z3.dobra.atmosfera","z3.mocne.strony","z3.jasne.cele","z3.organizuje.prace","z3.nawyki","z3.chetnie.angazuja","z3.zaprezentowac","z3.w.otoczeniu","z3.komunikuje.zmiany","z3.glowne.wartosci","z3.przeklada.misje","z3.att.check","r1.wiedza.dziedzinowa","r1.zdolnosci.analityczne","r1.skutecznosc","r1.swiadomosc.roli","r1.otwartosc.feedback","r1.rozwoj.wlasny","r2.sposob.pracy","r2.licza.sie","r2.podazaja","r2.potrafi.rozmawiac","r2.dostrzega.potrzeby","r2.dostrzega.potencjal","r2.rozwoj.zawodowy","r2.rozwoj.osobisty","r2.wartosciowy.feedback","r2.dostepny","r2.bezpieczenstwo","r2.nadmierna.presja","r2.trudne.sytuacje","r2.godna.zaufania","r3.zeby.wspolpraca","r3.dobra.atmosfera","r3.mocne.strony","r3.jasne.cele","r3.organizuje.prace","r3.nawyki","r3.chetnie.angazuja","r3.zaprezentowac","r3.w.otoczeniu","r3.komunikuje.zmiany","r3.glowne.wartosci","r3.przeklada.misje","r3.att.check","inne.open","UWES1","UWES2","UWES3","UWES4","UWES5","UWES6","UWES7","UWES8","UWES9","wiek","plec","narodowosc.PL","narodowosc.GER","narodowosc.UA","narodowosc.BY","narodowosc.UK","narodowosc.USA","narodowosc.ESP","narodowosc.FR","narodowosc.IT","narodowosc.inna","narodowosc.jaka","staz","kraj.wspolpraca","kraj.inny","stanowisko","stanowisko.inne","poziomy.ponizej","ile.w.zespole","ile.w.zespole.inne","dla.ilu.przeloz","dla.ilu.przeloz.inne","dla.ilu.lider","tryb.pracy","tryb.hybryd","tryb.hybryd.inne","ilu.liderow","final.open","urzadzenie","parametr.zewn","jezyk.wypeln","tagi","strona.odsylajaca","czas.wyp.s1","czas.wyp.s2","czas.wyp.s3","czas.wyp.s4","czas.wyp.s5","czas.wyp.s6","czas.wyp.s7","czas.wyp.s8","czas.wyp.s9","czas.wyp.s10","czas.wyp.s11","czas.wyp.s12"
"24",24,474329577,"2024-09-25 09:16:41","2024-09-25 10:17:37","01:00:56","01:00:56","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,1,2,3,4,NA,5,1,4,NA,NA,NA,NA,7,6,3,NA,NA,2,NA,6,3,2,NA,NA,5,NA,4,1,NA,NA,NA,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Zawsze","Zawsze",46,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"16-20","USA","","Team leader, kierownik","",1,"11-20","","11-20",NA,"11-20","Hybrydowo","Jeden dzień","","","","Mobile",NA,"pl",NA,"","00:45:49","00:01:09","00:02:27","00:06:08","00:01:19","00:00:54","00:00:27","00:01:01","00:01:03","00:00:24","00:00:05","00:00:10"
"25",25,474330282,"2024-09-25 09:16:41","2024-09-25 10:20:39","01:03:58","01:03:58","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne",3,4,1,NA,2,NA,1,NA,NA,5,NA,NA,NA,NA,4,NA,NA,2,3,6,NA,NA,NA,1,2,3,NA,NA,NA,4,NA,NA,NA,"Umiejętność rozładowywania napięcia, motywowanie","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu",42,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"16-20","Niemcy","","Team leader, kierownik","",1,"11-20","","6-10",NA,"6-10","Hybrydowo","Dwa dni","","","","Mobile",NA,"pl",NA,"","00:00:13","00:55:37","00:01:21","00:01:20","00:00:30","00:00:38","00:00:17","00:02:35","00:00:56","00:00:18","00:00:05","00:00:08"
"26",26,474331194,"2024-09-25 09:16:28","2024-09-25 10:26:06","01:09:38","01:09:38","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,2,NA,1,NA,7,5,NA,NA,NA,1,4,8,6,NA,9,2,NA,3,NA,NA,NA,1,NA,NA,NA,2,NA,3,NA,NA,NA,"Jest osobą empatyczną.","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w tygodniu","Raz w tygodniu","Raz w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu",42,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"11-15","USA","","Pracownik, członek zespołu","",0,"2-5","","1-5",NA,"1-5","Hybrydowo","Trzy dni","","","","Mobile",NA,"pl",NA,"","00:45:24","00:02:46","00:02:07","00:04:10","00:00:26","00:08:14","00:00:16","00:02:26","00:03:25","","00:00:43","00:00:15"
"27",27,474333942,"2024-09-25 09:16:27","2024-09-25 10:43:51","01:27:24","01:27:24","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",5,3,1,2,NA,4,NA,NA,NA,1,NA,2,NA,NA,3,NA,NA,NA,NA,NA,4,NA,3,1,NA,NA,NA,NA,2,5,NA,NA,NA,"","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu",48,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"powyżej 20 lat","USA","","Team leader, kierownik","",1,"11-20","","11-20",NA,"11-20","Hybrydowo","Jeden dzień","","","","Mobile",NA,"pl",NA,"","00:00:06","01:02:42","00:01:04","00:04:25","00:00:46","00:00:18","00:03:11","00:02:00","00:12:17","00:00:23","00:00:05","00:00:07"
"28",28,474335973,"2024-09-25 09:17:00","2024-09-25 10:57:49","01:40:49","01:40:49","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,3,5,NA,1,NA,6,NA,1,5,NA,NA,NA,3,4,NA,2,NA,"Bycie godnym zaufania.","Kilka razy w miesiącu","Raz w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu",37,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"11-15","USA","","Team leader, kierownik","",1,"2-5","","1-5",NA,"1-5","Hybrydowo","Jeden dzień","","","","Mobile",NA,"pl",NA,"","01:26:40","00:01:38","00:02:13","00:02:03","00:00:26","00:01:07","00:00:48","00:03:28","00:01:39","00:00:30","00:00:07","00:00:10"
"29",29,474338022,"2024-09-25 09:16:29","2024-09-25 11:13:28","01:56:59","01:56:59","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne",1,3,2,4,NA,NA,NA,1,NA,NA,NA,NA,2,5,3,NA,NA,NA,NA,4,2,NA,3,NA,1,NA,NA,4,NA,5,NA,NA,NA,"","Raz w miesiącu lub rzadziej","Kilka razy w miesiącu","Zawsze","Nigdy","Nigdy","Kilka razy w tygodniu","Zawsze","Zawsze","Raz w tygodniu",31,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Wielka Brytania","","Team leader, kierownik","",1,"6-10","","6-10",NA,"6-10","Całkowicie zdalnie (online)","","","","","Mobile",NA,"pl",NA,"","01:50:46","00:00:34","00:00:58","00:01:51","00:00:22","00:00:32","00:00:20","00:00:46","00:00:33","00:00:09","00:00:08",""
"30",30,478117752,"2024-10-08 09:19:58","2024-10-08 09:26:12","00:06:14","00:06:14","To nie jest dla mnie ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Raz w miesiącu lub rzadziej","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w tygodniu","Raz w tygodniu",29,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Wielka Brytania","","Pracownik, członek zespołu","",0,"11-20","","",NA,"","Hybrydowo","Dwa dni","","Praca na moim stanowisku wymaga stosunkowo częstej zmiany liderów, z którymi współpracuję","","Mobile",NA,"pl",NA,"","00:00:11","00:01:00","00:00:42","00:00:57","00:00:11","00:00:14","","00:01:26","00:00:55","","00:00:04","00:00:34"
"31",31,478117779,"2024-10-08 09:19:58","2024-10-08 09:26:26","00:06:28","00:06:28","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","Trochę ważne","To nie jest dla mnie ważne",NA,NA,1,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,"Uczciwość
Prawdomówność
Sprawczość","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w tygodniu","Nigdy","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w tygodniu","Kilka razy w tygodniu",28,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Polska","","Pracownik, członek zespołu","",0,"6-10","","",NA,"","Hybrydowo","Jeden dzień","","Stabilna struktura zespołu sprawia, że pracując na obecnym stanowisku mam stałego/ą lidera/kę","","Mobile",NA,"pl",NA,"","00:00:09","00:00:58","00:00:50","00:00:59","00:00:18","00:00:41","00:00:08","00:01:23","00:00:37","","00:00:07","00:00:18"
"32",32,478117836,"2024-10-08 09:20:21","2024-10-08 09:26:42","00:06:21","00:06:21","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","To nie jest dla mnie ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,NA,1,2,NA,NA,4,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w tygodniu","Raz w miesiącu lub rzadziej","Raz w miesiącu lub rzadziej","Raz w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu",34,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"6-10","USA","","Pracownik, członek zespołu","",0,"2-5","","",NA,"","Całkowicie zdalnie (online)","","","","","Mobile",NA,"pl",NA,"","00:00:14","00:00:56","00:01:10","00:01:08","00:00:25","00:00:15","00:00:06","00:01:12","00:00:48","","00:00:07",""
"33",33,478118211,"2024-10-08 09:19:52","2024-10-08 09:29:32","00:09:40","00:09:40","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","Trochę ważne","To nie jest dla mnie ważne",1,NA,NA,NA,2,NA,6,NA,NA,7,NA,5,1,2,NA,NA,4,3,NA,NA,1,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Stalowe nerwy i nie wprowadzanie zamętu i kultury zasuwania jak najszybciej","Raz w tygodniu","Raz w tygodniu","Kilka razy w miesiącu","Nigdy","Kilka razy w tygodniu","Raz w tygodniu","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w tygodniu",25,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"3-5","Polska","","Pracownik, członek zespołu","",0,"11-20","","",NA,"","Hybrydowo","Jeden dzień","","Stabilna struktura zespołu sprawia, że pracując na obecnym stanowisku mam stałego/ą lidera/kę","","Mobile",NA,"pl",NA,"","00:00:08","00:01:21","00:01:17","00:01:45","00:00:25","00:00:51","00:00:18","00:02:12","00:00:42","","00:00:06","00:00:35"
"34",34,478118406,"2024-10-08 09:20:37","2024-10-08 09:31:06","00:10:29","00:10:29","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,NA,1,2,3,4,3,5,4,7,10,13,14,11,8,6,1,2,9,12,6,7,8,1,4,5,9,10,3,2,NA,11,NA,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Zawsze","Zawsze",39,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"16-20","USA","","Inny rodzaj stanowiska (jaki?)","Analityk biznesowy",0,"6-10","","1-5",NA,"1-5","Hybrydowo","Jeden dzień","","Organizacja pracy na moim stanowisku wymaga regularnej współpracy z więcej, niż jednym liderem/ką","","Mobile",NA,"pl",NA,"","00:00:07","00:00:42","00:00:48","00:01:59","00:00:34","00:01:49","00:01:47","00:00:41","00:01:36","00:00:05","00:00:04","00:00:17"
"35",35,478119147,"2024-10-08 09:20:13","2024-10-08 09:36:16","00:16:03","00:16:03","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne",NA,NA,2,3,1,NA,8,9,10,1,4,7,NA,NA,3,11,6,12,5,2,2,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w tygodniu","Nigdy","Kilka razy w miesiącu","Nigdy","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w tygodniu",35,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"11-15","USA","","Pracownik, członek zespołu","",0,"11-20","","",NA,"","Hybrydowo","Jeden dzień","","Stabilna struktura zespołu sprawia, że pracując na obecnym stanowisku mam stałego/ą lidera/kę","","Mobile",NA,"pl",NA,"","00:01:02","00:02:24","00:01:45","00:02:56","00:00:32","00:02:14","00:00:16","00:03:05","00:01:02","","00:00:14","00:00:33"
"36",36,478814424,"2024-10-10 09:29:05","2024-10-10 09:39:45","00:10:40","00:10:40","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,5,2,1,4,3,13,11,5,3,4,6,9,8,NA,12,2,10,7,1,11,9,3,1,8,7,6,10,4,2,5,12,NA,"Empatia oraz podnoszenie zaangażowania pracowników w pracę, co z kolei sprzyja zmniejszeniu liczby odejść z firmy.","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Zawsze","Zawsze","Raz w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu",40,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"16-20","Wielka Brytania","","Członek zarządu","",3,"11-20","","1-5",NA,"powyżej 100 osób","Hybrydowo","Cztery dni","","Organizacja pracy na moim stanowisku wymaga regularnej współpracy z więcej, niż jednym liderem/ką","","PC",NA,"pl",NA,"","00:00:03","00:00:47","00:01:51","00:02:00","00:01:05","00:01:05","00:00:36","00:01:31","00:00:45","00:00:25","00:00:04","00:00:28"
